Date,Counts
2023-09-01T00:00:00Z,9
2023-09-02T00:00:00Z,2
2023-09-03T00:00:00Z,0
2023-09-04T00:00:00Z,4
2023-09-05T00:00:00Z,18
2023-09-06T00:00:00Z,8
2023-09-07T00:00:00Z,21
2023-09-08T00:00:00Z,24
2023-09-09T00:00:00Z,0
2023-09-10T00:00:00Z,4
2023-09-11T00:00:00Z,20
2023-09-12T00:00:00Z,21
2023-09-13T00:00:00Z,13
2023-09-14T00:00:00Z,14
2023-09-15T00:00:00Z,12
2023-09-16T00:00:00Z,1
2023-09-17T00:00:00Z,0
2023-09-18T00:00:00Z,13
2023-09-19T00:00:00Z,22
2023-09-20T00:00:00Z,7
2023-09-21T00:00:00Z,17
2023-09-22T00:00:00Z,10
2023-09-23T00:00:00Z,0
2023-09-24T00:00:00Z,0
2023-09-25T00:00:00Z,20
2023-09-26T00:00:00Z,23
2023-09-27T00:00:00Z,19
2023-09-28T00:00:00Z,17
2023-09-29T00:00:00Z,11
2023-09-30T00:00:00Z,0
